SUBSCRIPTION_ID;PACKAGE_ID;TIME_STAMP;ACCOUNT_ID;STATUS;START_DATE;END_DATE
11174916360;p-svmobi-gamebar-c-01;04/06/2020 07:45:54;38734127;INACTIVE;04/06/2020 00:11:46;04/06/2020 07:45:54
11114050879;p-svmobi-gamebar-c-01;30/05/2020 23:32:50;37483311;INACTIVE;30/05/2020 23:04:14;30/05/2020 23:32:50
10991414134;p-svmobi-gamebar-c-01;22/05/2020 16:32:50;49494251;INACTIVE;22/05/2020 16:31:35;22/05/2020 16:32:50
11114082998;p-svmobi-gamebar-c-01;31/05/2020 00:10:48;12311356;INACTIVE;30/05/2020 23:34:21;31/05/2020 00:10:48
11173398591;p-svmobi-gamebar-c-01;03/06/2020 20:49:07;39107738;INACTIVE;03/06/2020 19:26:55;03/06/2020 20:49:07
11051653888;p-svmobi-gamebar-c-01;26/05/2020 16:42:19;48845134;INACTIVE;26/05/2020 16:40:00;26/05/2020 16:42:19
10331814599;p-svmobi-gamebar-c-01;20/05/2020 16:24:48;7440737;INACTIVE;07/04/2020 13:51:11;20/05/2020 16:24:48
11047724088;p-svmobi-gamebar-c-01;26/05/2020 11:44:28;5671665;INACTIVE;26/05/2020 11:43:45;26/05/2020 11:44:28
10274011979;p-svmobi-gamebar-c-01;26/05/2020 09:42:39;44861536;INACTIVE;04/04/2020 13:24:34;26/05/2020 09:42:39
11108704168;p-svmobi-gamebar-c-01;30/05/2020 20:25:10;12932381;INACTIVE;30/05/2020 13:35:31;30/05/2020 20:25:10
11165586517;p-svmobi-gamebar-c-01;03/06/2020 09:22:12;49679849;INACTIVE;03/06/2020 09:21:33;03/06/2020 09:22:12
11167890448;p-svmobi-gamebar-c-01;03/06/2020 12:17:31;13957369;INACTIVE;03/06/2020 12:16:42;03/06/2020 12:17:31
10989257900;p-svmobi-gamebar-c-01;22/05/2020 13:22:52;11675722;INACTIVE;22/05/2020 13:20:28;22/05/2020 13:22:52
11054961441;p-svmobi-gamebar-c-01;26/05/2020 22:28:54;18704322;INACTIVE;26/05/2020 22:28:23;26/05/2020 22:28:54
11055150682;p-svmobi-gamebar-c-01;26/05/2020 23:50:53;31074981;INACTIVE;26/05/2020 23:49:37;26/05/2020 23:50:53
11164096298;p-svmobi-gamebar-c-01;04/06/2020 19:53:04;30582958;INACTIVE;03/06/2020 07:32:20;04/06/2020 19:53:04
